date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:33	12571/12571	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:33%20GMT	https://botsbase.net/bot/710115789537017926	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/710115789537017926.html	(from https://botsbase.net/)
10:21:34	4043/4043	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:33%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/710115789537017926/c5de2e7b42b95a1e3f598be3de5d6034.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/image1aad.png	(from https://botsbase.net/)
10:21:34	9379/9379	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:33%20GMT	https://botsbase.net/bot/736217568578109450	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/736217568578109450.html	(from https://botsbase.net/)
10:21:34	2578/2578	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:34%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/736217568578109450/ac15bc9400bd3ee15bb18b7f14eb3e4b.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/imageb435.png	(from https://botsbase.net/)
10:21:34	12413/12413	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:34%20GMT	https://botsbase.net/bot/770413374537203724	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/770413374537203724.html	(from https://botsbase.net/)
10:21:35	1903/1903	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:34%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/770413374537203724/60df6f4010b21849264acecb7f02362d.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/imageae4a.png	(from https://botsbase.net/)
10:21:35	10886/10886	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:35%20GMT	https://botsbase.net/bot/615821639740817409	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/615821639740817409.html	(from https://botsbase.net/)
10:21:35	4651/4651	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:35%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/615821639740817409/4e4e64a72b20c9d5113cb78235dcbd23.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/image1c34.png	(from https://botsbase.net/)
10:21:36	11521/11521	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:36%20GMT	https://botsbase.net/bot/619226634662182918	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/619226634662182918.html	(from https://botsbase.net/)
10:21:36	3569/3569	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:36%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/619226634662182918/8c79bd1757bf5be8465ab9e6bf307872.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/image25ca.png	(from https://botsbase.net/)
